level,defintion,pos,word
1,to go from a frozen to a liquid state : melt,verb,thawed
1,the brother of one's father or mother,noun,uncle
1,to spend time idly,verb,dawdle
1,"an Indian Muslim of or descended from one of several conquering groups of Mongol, Turkish, and Persian origin; especially : great mogul",noun,mogul
1,a dwarf or giant in Scandinavian folklore inhabiting caves or hills,noun,troll
1,of a similar nature or character : like,adjective,kindred
1,a fit of bad temper,noun,tantrum
1,knowledge or a system of knowledge covering general truths or the operation of general laws especially as obtained and tested through scientific method,noun,science
1,concrete,noun,cement
1,producing venom in a specialized gland and capable of inflicting injury or death,adjective,venomous
1,a person who brings a legal action,noun,plaintiff
1,needless or willful damage or violence,noun,mayhem
1,a dense growth of shrubbery or small trees : copse,noun,thicket
1,physical exercises designed to develop strength and coordination,noun,gymnastics
1,a tract of land surrounded by water and smaller than a continent,noun,island
1,an opponent of war; specifically : one who participates in antiwar demonstrations,noun,peacenik
1,a unit of weight equal to 1/12 troy pound,noun,ounce
1,an informal record; also : a written reminder,noun,memorandum
1,to annoy especially by petty provocation : irk,verb,bother
1,capable of being thrown or projected to strike a distant object,adjective,missile
1,a person who is notably small and often endearing,noun,munchkin
1,an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind,noun,banana
1,an enclosed structure in which heat is produced (as for heating a house or for reducing ore),noun,furnace
1,a hill at the foot of higher hills,noun,foothills
1,a fleshy movable muscular process of the floor of the mouths of most vertebrates that bears sensory end organs and small glands and functions especially in taking and swallowing food and in humans as a speech organ,noun,tongue
1,the elongated wormlike larva of a butterfly or moth; also : any of various similar larvae,noun,caterpillar
1,"any of numerous social or solitary winged hymenopterous insects (especially families Sphecidae and Vespidae) that usually have a slender smooth body with the abdomen attached by a narrow stalk, well-developed wings, biting mouthparts, and in the females and workers an often formidable sting, and that are largely carnivorous and often provision their nests with insects or spiders killed or paralyzed by stinging for their larvae to feed on",noun,wasp
1,praise given for achievement,noun,kudos
1,the 1st letter of the Greek alphabet,noun,alpha
1,everything involved in what is under consideration —usually used in the phrase the whole shebang,noun,shebang
1,the inner and usually larger of the two bones of the vertebrate hind or lower limb between the knee and ankle,noun,tibia
1,the brown nut of a hazel,noun,hazelnut
1,"consisting of or expressing a vow, wish, or desire",adjective,votive
1,a usually portable protective case for a light with transparent openings,noun,lantern
1,to cut or chop into very small pieces,verb,mince
1,full of bubbles : effervescent,adjective,bubbly
1,John 1648—1689 Graham of Claverhouse; Bonnie Dundee; 1st Viscount of Dundee Scottish Jacobite,biographical name,graham
1,headfirst,adverb,headlong
1,growing trees or their wood,noun,timber
